2 0x3
1 0x0080067a
2 0x3
2 0x3
0 0x00800813
0 0x00800c17
1 0x00800fcb
2 0x2
0 0x00800e61
2 0x3
0 0x008005a9
0 0x00800f77
1 0x00800dd8
0 0x00800ce1
2 0x2
1 0x00800b5d
2 0x2
1 0x008003e7
0 0x0080030e
2 0x2
0 0x00800cd9
0 0x00800149
2 0x3
1 0x00800b4e
1 0x00800d08
2 0x2
2 0x3
1 0x00800512
1 0x008002f1
0 0x00800087
1 0x0080079f
0 0x00800e07
0 0x00800d7a
1 0x00800d67
1 0x00800859
2 0x2
2 0x3
1 0x008007e1
1 0x00800151
0 0x008007c8
1 0x00800d85
0 0x00800bb4
0 0x008005f3
1 0x008006d1
2 0x2
0 0x008000b9
2 0x2
0 0x008009b3
2 0x2
1 0x00800d57
2 0x2
0 0x00800f60
2 0x2
0 0x00800efd
1 0x008009ed
1 0x0080011e
1 0x0080059a
0 0x0080080e
0 0x00800b30
2 0x2
1 0x00800d69
2 0x2
0 0x00800f76
0 0x00800d86
1 0x008001e0
1 0x00800aa6
1 0x00800ae6
1 0x00800a62
1 0x00800274
0 0x00800753
1 0x00800bd3
1 0x00800228
1 0x008005a2
1 0x00800971
2 0x2
1 0x00800bf9
0 0x00800006
1 0x0080028f
1 0x0080060e
1 0x00800081
1 0x00800c5a
0 0x008002a6
1 0x00800b39
1 0x00800e87
0 0x00800e24
1 0x008004fe
2 0x2
2 0x3
0 0x00800d66
0 0x0080066d
2 0x3
0 0x0080003a
0 0x00800faf
2 0x2
0 0x00800dfa
0 0x0080019a
1 0x00800a0a
1 0x00800e9f
0 0x00800dc8
1 0x008001d7
2 0x3
2 0x2
1 0x008008ef
1 0x00800f03
0 0x00800d8a
1 0x00800b65
1 0x00800a3e
0 0x00800353
1 0x00800024
1 0x00800555
1 0x00800b7e
0 0x008000a8
0 0x00800fb5
1 0x00800651
2 0x2
1 0x00800bb0
0 0x008004ed
0 0x008004d7
1 0x008004c9
0 0x008008f9
2 0x3
1 0x008001fd
1 0x008006d3
1 0x00800bc1
0 0x00800eb7
1 0x00800ce5
2 0x2
0 0x0080032b
0 0x00800628
1 0x008008e7
1 0x00800eb8
0 0x008006c4
0 0x00800fd0
2 0x2
1 0x008001d7
0 0x00800e72
0 0x008001e7
1 0x00800350
0 0x008009f9
0 0x00800755
0 0x008001ad
2 0x3
1 0x00800a36
1 0x00800ade
2 0x3
2 0x3
0 0x008008af
0 0x00800027
1 0x00800d17
0 0x00800dfd
0 0x00800d7a
1 0x00800b7d
1 0x0080010f
0 0x0080010f
0 0x008004ce
1 0x0080054a
2 0x2
2 0x3
2 0x3
2 0x2
0 0x00800bf3
0 0x008004a2
1 0x00800d36
2 0x3
0 0x00800d9e
2 0x2
0 0x00800bda
1 0x00800552
1 0x00800f16
2 0x3
1 0x008000ff
0 0x008003d2
1 0x008000e3
2 0x3
1 0x00800e3d
2 0x2
0 0x00800cf6
2 0x3
1 0x0080062f
0 0x00800788
0 0x00800084
0 0x00800a14
1 0x0080031e
1 0x008001c6
2 0x3
1 0x00800a68
1 0x00800c9d
2 0x3
0 0x0080084d
2 0x2
1 0x0080071c
0 0x00800749
0 0x00800f4d
0 0x008007c7
0 0x00800f1d
0 0x008003ac
1 0x0080081d
0 0x00800254
1 0x00800ec4
0 0x008006a6
